Program,xPONENT,,Intelliflex,,,,,,,,,,,,,,,,,
"87(1,G11)",Standard7,7735.54102,7794.7793,851.21387,5414.74414,2769.9707,3580.29297,8862.74219,540.89648,911,,,,,,,,,,
"88(1,H11)",Standard8,5361.42578,5415.9707,460.1709,3771.89258,1525.95508,2326.61523,5932.88867,269.17871,914,,,,,,,,,,
"89(1,A12)",Standard9,3172.56543,3173.66211,224.76172,2221.04492,844.23047,1273.84766,3646.08301,127.88281,992,,,,,,,,,,
"90(1,B12)",Standard10,1748.52344,1713.34766,110.25586,1247.14453,406.875,686.72754,1938.44922,73.97852,898,,,,,,,,,,
"91(1,C12)",Standard11,784.57812,776.43945,50.54492,579.23242,188.74414,268.52344,912.22852,46.42871,985,,,,,,,,,,
"92(1,D12)",Standard12,405.00586,407.24707,33.81836,307.88867,111.57422,159.33691,500.2832,33.6543,888,,,,,,,,,,
"93(1,E12)",Standard13,206.80273,193.98047,19.61816,151.67188,72.12695,74.86621,241.09375,31.12598,901,,,,,,,,,,
"94(1,F12)",Standard14,114.00879,105.28125,16.04883,85.8125,46.71484,52.81445,130.55664,28.36719,976,,,,,,,,,,
"95(1,G12)",Standard15,62.49512,60.36523,13.14063,50.86133,36.06836,32.86719,72.23633,24.07227,938,,,,,,,,,,
"96(1,H12)",Background0,21.88477,19.44336,10.99805,20.10645,26.47266,18.42383,21.7832,24.53906,952,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DataType:,Mean,,,,,,,,,,,,,,,,,,,
Location,Sample,RSV B F0 Protein,Human RSVB Post-fusion glycoprotein,RSV B GP G,A2 Pre-F-Fusion GP F0,Human RSV Strain B NP,Human RSV Strain A NP,RSV (A2) Fusion GP/RSV-F-Protein (His),"RSV (A,rsb1734) GP G Protein",Total Events,,,,,,,,,,
"1(1,A1)",Unknown1,3416.37476,1078.79712,547.17773,7264.03125,4998.17334,7306.08643,3224.12671,786.89349,995,,,,,,,,,,
"2(1,B1)",Unknown2,13223.95898,11604.49219,1930.06104,16626.92969,15734.40332,15327.9541,14685.97754,2299.82153,1065,,,,,,,,,,
"3(1,C1)",Unknown3,30807.15234,25770.0918,18175.55859,28262.35352,5164.86768,9214.1709,29814.27539,11730.87695,983,,,,,,,,,,
"4(1,D1)",Unknown4,18797.64258,4005.28589,9464.63086,23299.44141,14589.91699,16946.84961,18612.36719,976.06842,956,,,,,,,,,,
"5(1,E1)",Unknown37,41439.74219,29792.25,3388.39307,43597.30859,12851.24023,12253.48242,48242.26562,3261.63672,1066,,,,,,,,,,
"6(1,F1)",Unknown38,27594.73633,18415.42578,4497.87061,21516.68555,4450.53223,8833.40137,19124.63672,7318.99268,912,,,,,,,,,,
"7(1,G1)",Unknown39,27612.15234,30115.38867,18772.79297,18853.67773,12631.50977,11043.25488,25236.93555,13502.55957,940,,,,,,,,,,
"8(1,H1)",Unknown40,25541.04492,13853.32422,18995.51758,16578.73242,26844.23828,17504.70703,22918.82227,5082.65186,951,,,,,,,,,,
"9(1,A2)",Unknown5,29018.98242,17922.92773,12058.34668,21077.05273,18874.72656,19430.7168,25401.75586,7260.53809,1113,,,,,,,,,,
"10(1,B2)",Unknown6,37049.69531,27786.71875,8335.20996,26316.71289,21129.20898,17322.52539,41867.30469,1196.12671,967,,,,,,,,,,
"11(1,C2)",Unknown7,24800.98242,20629.26562,19559.98828,27732.69727,12472.46484,15081.03516,26789.48047,5545.94287,983,,,,,,,,,,
"12(1,D2)",Unknown8,25862.48438,30337.76758,27611.85352,20448.41406,15818.07031,21636.57031,39494.00391,7886.52295,938,,,,,,,,,,
"13(1,E2)",Unknown41,35461.625,29809.78711,13365.80273,35225.23828,19075.08203,17504.46875,24412.01953,5994.68701,987,,,,,,,,,,
"14(1,F2)",Unknown42,29467.0957,25461.45312,6968.16016,19439.52148,13474.2041,8441.13086,27547.51172,1076.63672,994,,,,,,,,,,
"15(1,G2)",Unknown43,44013.02734,41924.34766,19907.06836,26733.33984,8652.02246,11169.46289,39228.66016,108.96757,961,,,,,,,,,,
"16(1,H2)",Unknown44,12132.67383,2298.83447,179.8147,18124.61719,375.26871,1550.85718,5646.48389,41.74659,936,,,,,,,,,,
"17(1,A3)",Unknown9,27289.58398,11215.58594,13384.58008,19368.50586,18484.24609,15555.3252,26735.75977,6462.09229,880,,,,,,,,,,
"18(1,B3)",Unknown10,37580.72656,17110.92969,10644.41211,23886.26562,14158.55957,10331.75293,38360.62109,5079.41113,994,,,,,,,,,,
"19(1,C3)",Unknown11,31116.77539,21251.35156,10746.39844,28585.54688,9704.06543,9978.24512,31421.17188,9942.50293,1018,,,,,,,,,,
"20(1,D3)",Unknown12,27796.72656,11933.54492,22646.41602,21060.5293,13436.40137,12207.72266,31546.9043,20279.3418,1005,,,,,,,,,,
"21(1,E3)",Unknown45,23292.54492,16966.41016,4946.88574,19214.06445,6666.44678,10614.21387,45692.68359,1689.28845,1048,,,,,,,,,,
"22(1,F3)",Unknown46,26152.77539,23740.48828,6340.92188,27142.50391,8114.04199,13538.19434,35200.59375,13935.6748,933,,,,,,,,,,
"23(1,G3)",Unknown47,24739.09766,23449.30273,9330.72168,22163.37695,10734.59277,13927.08496,24498.82617,5717.58887,932,,,,,,,,,,
"24(1,H3)",Unknown48,30129.39648,29866.22266,17723.68359,25359.73828,23585.29102,19093.62109,33717.49609,14633.27148,869,,,,,,,,,,
"25(1,A4)",Unknown49,1447.11621,337.50726,206.07066,309.23404,132.74969,541.50891,1271.42371,908.74805,1029,,,,,,,,,,
"26(1,B4)",Unknown50,21119.66211,34921.64062,12489.60254,20594.08984,17962.6875,17443.07812,31495.23047,11056.22559,948,,,,,,,,,,
"27(1,C4)",Unknown51,30779.0957,32561.83203,5999.15186,24354.53125,10307.88281,9698.11426,33847.48047,4023.98071,872,,,,,,,,,,
"28(1,D4)",Unknown52,39715.18359,27154.73633,1246.42737,24472.11133,16676.01758,13810.18945,23077.55664,1313.48279,920,,,,,,,,,,
"29(1,E4)",Unknown53,45644.79297,30374.87305,5967.28369,25711.1543,10607.01855,18061.73633,38222.69531,1461.2854,1091,,,,,,,,,,
"30(1,F4)",Unknown54,28287.62891,24594.07617,1906.27161,19890.83984,16987.07031,19851.92578,38885.47266,583.67328,951,,,,,,,,,,
"31(1,G4)",Unknown55,28417.88672,15733.54297,1383.62354,36504.45703,20869.12695,20257.32617,33597.44922,1498.54126,890,,,,,,,,,,
"32(1,H4)",Unknown56,32607.24414,19394.18945,14484.66504,24929.57617,15594.75488,16819.55273,35254.31641,6150.40674,964,,,,,,,,,,
"33(1,A5)",Unknown13,32152.20898,20860.50195,9914.19824,24365.20898,10574.63379,23625.36133,22330.22461,6972.32764,883,,,,,,,,,,
"34(1,B5)",Unknown14,13127.77441,8180.35303,11980.77148,25367.75781,10298.79004,17061.70508,11437.85156,8048.12061,1002,,,,,,,,,,
"35(1,C5)",Unknown15,24634.80078,29907.96289,10640.94727,26179.26562,12579.08691,22373.29688,26812.2207,15459.37207,1101,,,,,,,,,,
"36(1,D5)",Unknown16,28576.13672,19444.70312,945.44226,18645.9043,3685.44531,3951.2832,29352.49805,5445.65723,932,,,,,,,,,,
